model,trials,valid_trials,best_cv_pr_auc,pr_auc,roc_auc,brier,f1,recall,precision,fn,fp,tp,tn
catboost,15,15,0.9479127420954035,0.9478973394900623,0.9419585884019898,0.09521467255409784,0.8491176447323667,0.8363823355252906,0.8622467830808527,10500,8575,53674,52251
lightgbm,15,15,0.9478062664807312,0.9477897350692123,0.9418391150458763,0.09504855062629138,0.8518915914687334,0.8598497834013775,0.84407935998042,8994,10193,55180,50633
xgboost,15,15,0.9477927230636468,0.947765165335874,0.9418180534086229,0.09538313001394272,0.8503782528172772,0.8442827313242123,0.8565624308344136,9993,9073,54181,51753
