model,metric,estimate,ci_low,ci_high,resamples
catboost,pr_auc,0.9478973394900623,0.9467811282579097,0.9490855917562142,1000
catboost,roc_auc,0.9419585884019898,0.9408416142527616,0.9431600239033107,1000
xgboost,pr_auc,0.947765165335874,0.9465341569734299,0.9488259418344505,1000
xgboost,roc_auc,0.9418180534086229,0.9407005512307495,0.9429405058593989,1000
lightgbm,pr_auc,0.9477897350692123,0.9466941523738295,0.9489586698234843,1000
lightgbm,roc_auc,0.9418391150458763,0.9407359151746273,0.9429641386895006,1000
