model,feature_variant,cv_folds,seconds,pr_auc,roc_auc,brier,f1,recall,precision,fn,fp,tp,tn
catboost,log_numeric,5,15.82320785522461,0.9476223755797724,0.9417002969962152,0.09561160830488952,0.8470081432311893,0.8241811325458909,0.8711356336984271,11283,7824,52891,53002
lightgbm,log_numeric,5,12.198997735977173,0.9475336160236101,0.9416287393580066,0.09530641165644746,0.8529833191580657,0.8673450306977903,0.8390894701138162,8513,10674,55661,50152
xgboost,log_numeric,5,10.06087040901184,0.9470524975344943,0.9411050302821988,0.10181289166212082,0.8508906091908045,0.8452488546763487,0.8566081834404561,9931,9080,54243,51746
gradient_boosting,log_numeric,5,344.8598208427429,0.9463621499294443,0.9404154761520254,0.10218867105307083,0.8512518867777726,0.852432449278524,0.8500745897563401,9470,9648,54704,51178
random_forest,log_numeric,5,26.16892147064209,0.9394479290325878,0.9341249115700978,0.10816918510937724,0.8503998136790621,0.8534609031695078,0.8473606039977721,9404,9866,54770,50960
decision_tree,log_numeric,5,10.941825866699219,0.9360794944183891,0.9333858166201996,0.10267654223694643,0.8463467880533234,0.851793561255337,0.8409692307692308,9511,10337,54663,50489
logistic,log_numeric,5,3.7488136291503906,0.9062929676399699,0.897232391115788,0.13065264345695457,0.8118074264964273,0.8099541870539471,0.8136691661057278,12196,11903,51978,48923
dummy,log_numeric,5,2.5345375537872314,0.5133856003989153,0.4999871908109099,0.2498206544800001,0.6784653282163511,1.0,0.513392,0,60826,64174,0
