model,feature_variant,cv_folds,seconds,pr_auc,roc_auc,brier,f1,recall,precision,fn,fp,tp,tn
dummy,log_numeric,5,2.5345375537872314,0.5133856003989153,0.4999871908109099,0.2498206544800001,0.6784653282163511,1.0,0.513392,0,60826,64174,0
logistic,log_numeric,5,3.748813629150391,0.90629296763997,0.897232391115788,0.1306526434569545,0.8118074264964273,0.8099541870539471,0.8136691661057278,12196,11903,51978,48923
decision_tree,log_numeric,5,10.94182586669922,0.9360794944183892,0.9333858166201996,0.1026765422369464,0.8463467880533234,0.851793561255337,0.8409692307692308,9511,10337,54663,50489
random_forest,log_numeric,5,26.16892147064209,0.9394479290325878,0.9341249115700978,0.1081691851093772,0.8503998136790621,0.8534609031695078,0.8473606039977721,9404,9866,54770,50960
gradient_boosting,log_numeric,5,344.8598208427429,0.9463621499294445,0.9404154761520254,0.1021886710530708,0.8512518867777726,0.852432449278524,0.8500745897563401,9470,9648,54704,51178
xgboost,log_numeric,5,10.06087040901184,0.9470524975344944,0.9411050302821988,0.1018128916621208,0.8508906091908045,0.8452488546763487,0.8566081834404561,9931,9080,54243,51746
lightgbm,log_numeric,5,12.198997735977173,0.94753361602361,0.9416287393580066,0.0953064116564474,0.8529833191580657,0.8673450306977903,0.8390894701138162,8513,10674,55661,50152
catboost,log_numeric,5,15.82320785522461,0.9476223755797724,0.9417002969962152,0.0956116083048895,0.8470081432311893,0.8241811325458909,0.8711356336984271,11283,7824,52891,53002
