model,baseline_pr_auc,searched_pr_auc,delta_pr_auc
catboost,0.9476223755797724,0.9480044138600888,0.0003820382803164657
xgboost,0.9470524975344944,0.9478322097156904,0.0007797121811959906
lightgbm,0.94753361602361,0.947707050266902,0.00017343424329208101
gradient_boosting,0.9463621499294445,0.9455695748508152,-0.0007925750786292873
random_forest,0.9394479290325878,0.943002402202095,0.0035544731695071885
decision_tree,0.9360794944183892,0.9361465688417696,6.70744233803866e-05
logistic,0.90629296763997,0.9062959236272272,2.9559872571915946e-06
