model,metric,estimate,ci_low,ci_high,resamples
xgboost,pr_auc,0.947765165335874,0.94653415697343,0.9488259418344503,1000
lightgbm,pr_auc,0.9477897350692124,0.9466941523738296,0.9489586698234844,1000
catboost,pr_auc,0.9478973394900624,0.9467811282579096,0.9490855917562142,1000
